Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work,Satisfaction_Group
1939,32,26-35,True,Travel Frequently,238,Research & Development,5,2,Unknown,1,F,47,4,1, Research Scientist ,3,Unknown,15318,3,True,0.14,3,1,0,8,2,3,4,0,3,1991,False,A
2351,32,26-35,False,Unknown,1146,Research & Development,15,4,Unknown,3,F,99999,3,2, Healthcare Representative ,4,Unknown,16542,5,False,0.18,3,2,1,9,6,3,5,1,2,1991,True,A
2352,28,26-35,True,Unknown,1404,Research & Development,17,3,Unknown,3,M,32,2,1, Laboratory Technician ,4,Unknown,18779,5,False,0.12,3,1,1,11,2,2,4,0,3,1995,True,A
1994,33,26-35,False,Unknown,1313,Research & Development,1,2,Medical,2,M,59,2,1, Laboratory Technician ,3,Divorced,20439,1,Unknown,0.12,3,3,3,11,2,2,1,0,0,1990,False,A
4,37,36-45,True,Travel Rarely,1373,Research & Development,2,2,Unknown,4,M,92,2,1, Laboratory Technician ,3,Single,2396,6,True,0.15,3,2,0,7,3,3,0,0,0,1986,True,A
10,59,56-65,False,Travel Rarely,1324,Research & Development,3,3,Medical,3,F,81,4,1, Laboratory Technician ,1,Unknown,9964,4,Unknown,0.2,3,1,3,12,3,2,1,0,0,1964,True,B
2353,30,26-35,False,Travel Rarely,1358,Research & Development,24,1,Life Sciences,4,M,67,3,1, Laboratory Technician ,3,Divorced,13335,1,Unknown,0.22,4,2,1,1,2,3,1,0,0,1993,True,A
2354,22,18-25,False,Unknown,1123,Research & Development,16,2,Unknown,4,M,96,4,1, Laboratory Technician ,4,Unknown,7324,1,True,0.13,3,2,2,11,2,2,1,0,0,2001,False,A
30,21,18-25,False,Travel Rarely,391,Research & Development,15,2,Unknown,3,M,96,3,1, Research Scientist ,4,Single,19281,1,False,0.14,3,4,0,0,6,3,0,0,0,2002,True,A
41,30,26-35,False,Travel Rarely,125,Research & Development,9,2,Medical,4,M,83,2,1, Laboratory Technician ,3,Unknown,16117,1,Unknown,0.13,3,1,0,10,5,3,10,1,8,1993,False,A
42,39,36-45,True,Travel Rarely,895,Unknown,18,3,Technical Degree,2,M,56,3,2, Sales Representative ,4,Married,3335,3,False,0.14,3,3,1,19,6,4,1,0,0,1984,True,A
2355,24,18-25,True,Travel Rarely,813,Research & Development,1,3,Unknown,2,M,61,3,1, Research Scientist ,4,Unknown,3020,2,True,0.16,3,1,1,6,2,3,2,2,0,1999,False,A
53,35,26-35,False,Unknown,99999,Research & Development,4,2,Other,3,M,75,3,1, Laboratory Technician ,4,Divorced,10910,1,Unknown,0.12,3,3,1,1,3,3,1,0,0,1988,True,A
54,27,26-35,False,Unknown,1240,Research & Development,2,4,Life Sciences,4,F,33,3,1, Laboratory Technician ,1,Divorced,19715,1,Unknown,0.13,3,4,1,11,6,3,1,0,0,1996,False,B
55,26,26-35,True,Unknown,1357,Research & Development,25,3,Life Sciences,1,M,48,1,1, Laboratory Technician ,3,Single,10558,1,Unknown,0.12,3,3,0,1,2,2,1,0,1,1997,False,A
2356,37,36-45,False,Unknown,99999,Research & Development,24,2,Life Sciences,2,M,73,3,1, Research Scientist ,2,Married,10227,4,False,0.21,4,1,0,8,1,3,1,0,0,1986,False,B
2357,35,26-35,False,Unknown,1229,Research & Development,46,1,Unknown,4,M,36,4,1, Laboratory Technician ,4,Unknown,4892,1,False,0.19,3,4,0,1,2,3,1,0,1,1988,True,A
64,48,46-55,True,Unknown,626,Research & Development,1,2,Unknown,1,M,98,2,3, Laboratory Technician ,3,Unknown,19294,9,Unknown,0.13,3,4,0,11,2,3,1,0,0,1975,False,A
70,35,26-35,False,Non Travel,1097,Research & Development,11,2,Medical,3,M,79,2,3, Healthcare Representative ,1,Married,8302,2,True,0.13,3,3,1,10,3,3,4,2,3,1988,True,B
84,55,46-55,False,Travel Rarely,836,Unknown,8,3,Unknown,4,F,99999,3,4, Manager ,3,Divorced,19730,2,True,0.14,3,3,3,21,2,3,5,0,2,1968,True,A
2358,45,36-45,False,Unknown,1339,Research & Development,7,3,Life Sciences,2,M,59,3,3, Research Scientist ,1,Unknown,18787,2,False,0.17,3,3,1,11,2,3,1,0,0,1978,True,B
2359,36,36-45,True,Unknown,318,Research & Development,9,3,Medical,4,M,99999,2,1, Research Scientist ,3,Unknown,21777,0,Unknown,0.17,3,1,1,11,0,2,1,0,0,1987,True,A
97,36,36-45,False,Travel Rarely,132,Research & Development,6,3,Life Sciences,2,F,55,4,1, Laboratory Technician ,4,Unknown,22002,3,False,0.12,3,2,0,11,3,3,1,0,0,1987,True,A
2360,45,36-45,False,Travel Rarely,193,Research & Development,6,4,Other,4,M,52,3,3, Research Director ,1,Unknown,15067,4,True,0.14,3,2,0,11,3,4,0,0,0,1978,False,B
106,55,46-55,False,Unknown,111,Sales,1,2,Unknown,1,M,70,3,3, Sales Executive ,4,Married,18092,3,Unknown,0.14,3,4,1,11,4,3,1,1,0,1968,True,A
113,23,18-25,False,Unknown,541,Unknown,2,1,Technical Degree,3,M,62,3,1, Sales Representative ,1,Divorced,9518,3,False,0.13,3,3,1,11,3,3,0,0,0,2000,False,B
2361,32,26-35,False,Travel Rarely,827,Research & Development,1,1,Life Sciences,4,M,71,3,1, Research Scientist ,1,Single,15178,1,False,0.13,3,4,0,11,2,3,1,0,0,1991,True,B
137,20,18-25,True,Unknown,871,Research & Development,6,3,Life Sciences,4,F,66,2,1, Laboratory Technician ,4,Single,19783,1,True,0.18,3,2,0,11,5,3,1,1,0,2003,False,A
139,37,36-45,False,Unknown,1040,Research & Development,2,2,Life Sciences,3,M,100,2,2, Healthcare Representative ,4,Divorced,15850,5,False,0.14,3,4,1,17,2,4,1,0,0,1986,False,A
144,22,18-25,False,Unknown,99999,Research & Development,15,3,Unknown,2,F,59,3,1, Laboratory Technician ,4,Single,23785,1,False,0.15,3,3,0,11,5,3,0,0,0,2001,False,A
2362,34,26-35,False,Unknown,1031,Research & Development,24,4,Life Sciences,3,F,45,2,2, Research Scientist ,2,Unknown,15000,6,Unknown,0.15,3,3,1,11,3,3,1,0,0,1989,True,B
155,36,36-45,False,Unknown,922,Research & Development,3,2,Life Sciences,1,F,39,3,1, Laboratory Technician ,4,Divorced,2561,5,Unknown,0.22,4,1,1,11,2,3,1,0,0,1987,False,A
167,19,18-25,True,Travel Rarely,528,Sales,22,1,Marketing,4,M,99999,3,1, Sales Representative ,3,Single,26820,1,True,0.19,3,4,0,0,2,2,0,0,0,2004,True,A
200,41,36-45,False,Unknown,99999,Research & Development,9,4,Life Sciences,3,M,94,3,1, Laboratory Technician ,1,Unknown,6961,2,Unknown,0.21,4,4,1,7,2,3,5,1,4,1982,True,B
201,19,18-25,False,Unknown,99999,Research & Development,18,1,Unknown,2,F,79,3,1, Laboratory Technician ,2,Single,16102,1,False,0.14,3,4,0,1,3,3,1,0,0,2004,False,B
211,51,46-55,False,Unknown,1169,Research & Development,7,4,Unknown,2,M,34,2,2, Manufacturing Director ,3,Married,13983,2,False,0.17,3,3,0,10,2,3,1,0,0,1972,True,A
214,58,56-65,False,Unknown,1145,Research & Development,9,3,Unknown,2,F,75,2,1, Research Scientist ,2,Married,11873,4,True,0.2,4,2,1,9,3,2,1,0,0,1965,False,B
2363,19,18-25,True,Travel Frequently,602,Unknown,1,1,Unknown,3,F,100,1,1, Sales Representative ,1,Unknown,20989,0,False,0.21,4,1,0,1,5,3,0,0,0,2004,True,B
243,19,18-25,True,Travel Rarely,303,Research & Development,2,3,Life Sciences,2,M,99999,2,1, Laboratory Technician ,4,Single,9241,1,Unknown,0.22,4,3,0,1,3,2,1,1,0,2004,True,A
2364,35,26-35,True,Travel Rarely,556,Research & Development,23,2,Unknown,2,M,50,2,2, Manufacturing Director ,3,Unknown,15497,3,True,0.13,3,1,0,8,1,3,1,0,1,1988,True,A
271,38,36-45,False,Travel Rarely,1261,Research & Development,38,4,Unknown,4,M,99999,3,2, Manufacturing Director ,3,Unknown,7259,9,Unknown,0.14,3,2,0,14,3,3,1,0,0,1985,False,A
282,38,36-45,True,Unknown,1180,Research & Development,29,1,Medical,2,M,70,3,2, Healthcare Representative ,1,Married,11354,7,True,0.19,3,2,0,17,2,3,1,0,0,1985,False,B
2365,41,36-45,False,Unknown,896,Sales,6,3,Life Sciences,4,F,75,3,3, Manager ,4,Single,14674,3,True,0.18,3,3,0,11,3,3,1,0,0,1982,False,A
309,59,56-65,False,Travel Rarely,142,Research & Development,3,3,Life Sciences,3,M,70,2,1, Research Scientist ,4,Married,8456,3,Unknown,0.17,3,1,1,7,6,3,1,0,0,1964,True,A
323,50,46-55,False,Travel Rarely,854,Unknown,1,4,Medical,4,F,68,3,5, Manager ,4,Divorced,24118,3,False,0.11,3,3,1,11,3,2,7,0,6,1973,False,A
334,41,36-45,False,Travel Rarely,1411,Research & Development,19,2,Life Sciences,3,M,36,3,2, Research Scientist ,1,Divorced,19877,2,Unknown,0.16,3,1,2,17,2,2,1,0,0,1982,True,B
2366,45,36-45,False,Unknown,252,Unknown,1,3,Unknown,3,M,70,4,5, Manager ,4,Unknown,15970,0,Unknown,0.11,3,3,1,25,2,3,24,1,7,1978,False,A
342,37,36-45,True,Unknown,504,Research & Development,10,3,Medical,1,M,61,3,3, Manufacturing Director ,3,Unknown,22573,6,False,0.11,3,2,2,17,5,3,1,0,0,1986,True,A
2367,51,46-55,False,Unknown,833,Research & Development,38,3,Unknown,3,M,96,3,1, Research Scientist ,4,Married,23231,1,False,0.11,3,2,0,1,0,2,1,0,0,1972,True,A
364,28,26-35,True,Travel Rarely,529,Research & Development,2,4,Life Sciences,1,M,79,3,1, Laboratory Technician ,3,Single,14935,2,Unknown,0.11,3,3,0,5,5,1,0,0,0,1995,False,A
2368,29,26-35,False,Travel Rarely,1210,Sales,2,3,Medical,1,M,78,2,2, Sales Executive ,2,Married,3687,2,False,0.19,3,2,2,10,2,3,0,0,0,1994,True,B
367,31,26-35,False,Travel Rarely,1463,Research & Development,23,3,Medical,2,M,64,2,2, Healthcare Representative ,4,Unknown,14408,0,False,0.21,3,2,1,10,2,3,9,7,8,1992,True,A
2369,38,36-45,False,Travel Rarely,322,Sales,7,2,Medical,1,F,44,4,2, Sales Executive ,1,Unknown,19191,1,True,0.24,4,3,1,8,3,3,8,7,7,1985,False,B
392,44,36-45,True,Travel Frequently,920,Research & Development,12,3,Life Sciences,2,M,43,3,1, Laboratory Technician ,3,Unknown,19920,3,True,0.22,4,4,1,19,0,1,1,0,0,1979,True,A
397,36,36-45,False,Unknown,506,Research & Development,3,3,Technical Degree,3,M,30,3,2, Research Scientist ,2,Single,26285,4,Unknown,0.12,3,4,0,10,2,3,8,7,7,1987,True,B
2370,18,18-25,True,Unknown,99999,Research & Development,3,3,Unknown,3,M,54,3,1, Laboratory Technician ,3,Single,25233,1,False,0.13,3,3,0,0,2,3,0,0,0,2005,True,A
407,36,36-45,False,Unknown,566,Research & Development,18,4,Life Sciences,3,M,81,4,1, Laboratory Technician ,4,Married,7122,4,False,0.18,3,4,2,4,2,3,1,0,0,1987,True,A
2371,18,18-25,False,Unknown,812,Unknown,10,3,Unknown,4,F,69,2,1, Sales Representative ,3,Unknown,9724,1,False,0.12,3,1,0,0,2,3,0,0,0,2005,False,A
445,39,36-45,True,Travel Rarely,1162,Sales,3,2,Unknown,4,F,41,3,2, Sales Executive ,3,Married,17778,4,True,0.18,3,1,0,12,3,2,1,0,0,1984,True,A
2372,43,36-45,False,Travel Rarely,1001,Research & Development,15,3,Unknown,2,F,43,3,3, Healthcare Representative ,1,Married,9262,8,False,0.16,3,1,1,11,1,2,1,0,0,1980,True,B
2373,47,46-55,False,Travel Frequently,1309,Unknown,4,1,Medical,2,M,99,3,2, Sales Representative ,3,Unknown,25751,3,False,0.19,3,1,0,5,3,3,0,0,0,1976,False,A
468,42,36-45,False,Travel Rarely,810,Research & Development,23,5,Unknown,1,F,44,3,4, Research Director ,4,Single,15901,2,False,0.14,3,2,0,16,2,3,1,0,0,1981,False,A
471,32,26-35,False,Unknown,1062,Research & Development,2,3,Unknown,3,F,75,3,1, Laboratory Technician ,2,Married,3956,1,False,0.13,3,3,1,8,4,3,8,0,7,1991,True,B
473,48,46-55,False,Travel Rarely,530,Unknown,29,1,Medical,1,F,91,3,3, Manager ,3,Married,23978,3,Unknown,0.21,4,2,1,15,3,1,0,0,0,1975,True,A
477,42,36-45,False,Travel Rarely,1332,Research & Development,2,4,Unknown,1,M,98,2,2, Healthcare Representative ,4,Unknown,17078,3,Unknown,0.23,4,2,0,11,6,3,1,0,0,1981,False,A
479,36,36-45,False,Non Travel,845,Sales,1,5,Medical,4,F,45,3,2, Sales Executive ,4,Unknown,15276,4,Unknown,0.15,3,2,0,11,6,3,1,0,0,1987,True,A
485,33,26-35,True,Travel Rarely,350,Unknown,5,3,Marketing,4,F,34,3,1, Sales Representative ,3,Single,9150,1,Unknown,0.13,3,2,0,1,2,3,1,0,0,1990,False,A
487,46,46-55,False,Unknown,1144,Research & Development,7,4,Medical,3,F,30,3,2, Manufacturing Director ,3,Married,16044,2,Unknown,0.14,3,3,0,7,2,4,1,0,0,1977,True,A
494,21,18-25,True,Travel Rarely,156,Sales,12,3,Life Sciences,3,F,90,4,1, Sales Representative ,2,Single,25422,1,Unknown,0.15,3,4,0,1,0,3,1,0,0,2002,False,B
508,30,26-35,False,Unknown,202,Unknown,2,1,Technical Degree,3,M,72,3,1, Sales Representative ,2,Unknown,17434,1,Unknown,0.18,3,1,1,11,3,3,1,0,0,1993,True,B
514,30,26-35,True,Travel Frequently,464,Research & Development,4,3,Unknown,3,M,40,3,1, Research Scientist ,4,Single,3427,9,True,0.23,4,3,0,3,4,3,1,0,0,1993,False,A
518,32,26-35,False,Travel Rarely,1305,Research & Development,10,4,Unknown,3,M,49,3,2, Manufacturing Director ,2,Single,21123,2,Unknown,0.12,3,4,0,18,2,2,1,0,1,1986,True,B
2374,40,36-45,False,Travel Rarely,555,Research & Development,2,3,Unknown,2,F,78,2,2, Laboratory Technician ,3,Married,13436,6,False,0.22,4,2,1,11,3,3,1,0,0,1983,True,A
2375,28,26-35,False,Travel Rarely,1300,Research & Development,17,2,Unknown,3,M,79,3,2, Laboratory Technician ,1,Unknown,13535,1,Unknown,0.12,3,4,1,10,2,3,10,1,8,1995,False,B
556,38,36-45,False,Travel Frequently,1490,Research & Development,2,2,Unknown,4,M,42,3,1, Laboratory Technician ,4,Married,12106,1,True,0.23,4,3,1,11,3,3,1,0,0,1985,False,A
566,19,18-25,True,Unknown,489,Unknown,2,2,Technical Degree,1,M,99999,2,1, Human Resources ,4,Single,18437,1,False,0.12,3,3,0,1,3,4,1,0,0,2004,True,A
568,57,56-65,False,Travel Rarely,210,Unknown,29,3,Unknown,1,M,56,2,4, Manager ,4,Divorced,22102,3,False,0.12,3,3,1,11,3,2,1,0,0,1966,True,A
2376,47,46-55,False,Travel Rarely,983,Research & Development,2,2,Medical,1,F,65,3,2, Manufacturing Director ,4,Unknown,7389,5,Unknown,0.13,3,3,3,20,2,3,5,0,4,1976,True,A
2377,54,46-55,False,Travel Rarely,548,Research & Development,8,4,Life Sciences,3,F,42,3,2, Laboratory Technician ,3,Single,23428,7,Unknown,0.11,3,3,0,11,3,3,1,0,0,1969,False,A
2378,31,26-35,True,Travel Frequently,534,Research & Development,42,3,Unknown,4,M,66,3,3, Healthcare Representative ,3,Unknown,22908,3,False,0.12,3,1,0,12,2,3,1,0,0,1992,True,A
614,18,18-25,True,Travel Frequently,1306,Unknown,5,3,Marketing,2,M,69,3,1, Sales Representative ,2,Unknown,8059,1,True,0.14,3,4,0,11,3,3,0,0,0,2005,False,B
615,40,36-45,False,Unknown,1094,Sales,28,3,Other,3,M,58,1,3, Sales Executive ,1,Unknown,11373,3,False,0.15,3,3,1,20,2,3,1,0,1,1983,True,B
2379,26,26-35,False,Unknown,775,Sales,29,2,Unknown,1,M,45,3,2, Sales Executive ,3,Unknown,4267,5,Unknown,0.12,3,1,2,8,5,3,0,0,0,1997,True,A
622,26,26-35,True,Travel Rarely,471,Research & Development,24,3,Unknown,3,M,66,1,1, Laboratory Technician ,4,Single,23213,1,True,0.18,3,2,0,1,3,1,1,0,0,1997,True,A
2380,38,36-45,False,Unknown,1495,Research & Development,10,3,Unknown,3,F,76,3,2, Healthcare Representative ,3,Unknown,22174,3,False,0.19,3,3,1,18,4,3,1,0,0,1985,True,A
643,24,18-25,False,Unknown,823,Research & Development,17,2,Other,4,M,94,2,1, Laboratory Technician ,2,Married,9100,1,False,0.21,4,4,1,1,2,3,1,0,0,1999,True,B
648,30,26-35,True,Travel Frequently,448,Unknown,12,4,Unknown,2,M,74,2,1, Sales Representative ,1,Married,14470,1,False,0.18,3,3,1,1,2,4,1,0,0,1993,True,B
656,37,36-45,False,Travel Rarely,558,Sales,2,3,Marketing,4,M,75,3,2, Sales Executive ,3,Married,3010,4,Unknown,0.11,3,3,1,11,3,2,3,1,0,1986,False,A
657,20,18-25,False,Travel Rarely,959,Research & Development,1,3,Life Sciences,4,F,83,2,1, Research Scientist ,2,Unknown,11757,1,False,0.13,3,4,0,1,0,4,1,0,0,2003,True,B
661,43,36-45,False,Unknown,782,Research & Development,14,4,Other,2,M,50,2,4, Research Director ,4,Divorced,2671,4,Unknown,0.14,3,3,1,21,3,3,1,0,0,1980,False,A
662,38,36-45,False,Unknown,362,Research & Development,27,1,Life Sciences,3,F,99999,3,1, Research Scientist ,1,Unknown,14561,3,False,0.17,3,4,0,8,3,2,0,0,0,1985,True,B
2381,33,26-35,False,Unknown,1216,Sales,8,4,Marketing,3,M,39,3,2, Sales Executive ,3,Divorced,20431,0,Unknown,0.12,3,4,0,6,3,3,5,1,2,1990,False,A
2382,30,26-35,False,Unknown,160,Research & Development,3,3,Unknown,3,F,71,3,1, Research Scientist ,3,Unknown,22653,1,False,0.2,4,3,1,1,2,3,1,0,0,1993,False,A
690,29,26-35,False,Unknown,99999,Sales,44,2,Medical,2,F,62,3,2, Sales Executive ,3,Unknown,3487,1,False,0.14,3,1,1,11,5,2,6,1,2,1994,False,A
701,20,18-25,True,Unknown,1362,Research & Development,10,1,Medical,4,M,32,3,1, Research Scientist ,3,Single,26999,1,Unknown,0.11,3,4,0,11,5,3,1,1,1,2003,True,A
704,35,26-35,False,Non Travel,727,Research & Development,20,3,Unknown,2,M,41,2,1, Laboratory Technician ,3,Married,16900,1,False,0.18,3,3,2,1,3,3,1,0,0,1988,False,A
715,37,36-45,False,Unknown,1225,Research & Development,10,2,Life Sciences,4,M,80,4,1, Research Scientist ,4,Single,15232,3,False,0.17,3,1,0,11,2,3,1,0,0,1986,True,A
743,38,36-45,False,Unknown,168,Research & Development,1,3,Unknown,3,F,81,3,3, Manufacturing Director ,3,Single,15397,4,True,0.14,3,4,0,10,4,3,1,0,0,1985,True,A
749,29,26-35,False,Unknown,1396,Unknown,10,3,Unknown,3,M,99999,3,1, Sales Representative ,3,Single,2755,1,False,0.11,3,3,0,1,6,3,1,0,0,1994,False,A
2383,35,26-35,False,Unknown,1225,Research & Development,2,4,Unknown,4,F,61,3,2, Healthcare Representative ,1,Divorced,4761,2,False,0.11,3,1,1,16,2,4,1,0,0,1988,True,B
773,38,36-45,False,Travel Rarely,268,Research & Development,2,5,Medical,4,M,92,3,1, Research Scientist ,3,Married,20471,6,True,0.13,3,2,1,11,0,1,1,0,1,1985,True,A
775,34,26-35,False,Travel Rarely,167,Research & Development,8,5,Life Sciences,2,F,32,3,2, Manufacturing Director ,1,Unknown,4187,3,False,0.14,3,3,1,11,3,3,0,0,0,1989,True,B
811,23,18-25,True,Unknown,1243,Research & Development,6,3,Life Sciences,3,M,99999,4,1, Laboratory Technician ,1,Unknown,3445,1,True,0.21,4,3,2,1,2,3,0,0,0,2000,False,B
812,24,18-25,False,Unknown,1092,Research & Development,9,3,Life Sciences,3,M,60,2,1, Laboratory Technician ,2,Divorced,26551,1,False,0.11,3,3,3,11,4,3,1,0,0,1999,False,B
816,29,26-35,True,Travel Rarely,805,Research & Development,1,2,Life Sciences,2,F,36,2,1, Laboratory Technician ,1,Married,6689,1,Unknown,0.11,3,4,1,1,1,3,1,0,0,1994,True,B
832,40,36-45,False,Travel Frequently,720,Research & Development,16,4,Medical,1,M,51,2,2, Laboratory Technician ,3,Unknown,11983,6,False,0.14,3,4,0,10,6,3,1,0,0,1983,True,A
833,30,26-35,False,Travel Rarely,99999,Research & Development,2,3,Unknown,3,F,52,2,2, Manufacturing Director ,4,Single,20234,5,Unknown,0.24,4,2,0,12,4,2,0,0,0,1993,True,A
834,45,36-45,False,Unknown,252,Research & Development,2,3,Unknown,2,F,95,2,1, Research Scientist ,3,Unknown,6153,1,False,0.14,3,4,0,1,3,3,1,0,0,1978,True,A
2384,27,26-35,False,Unknown,443,Research & Development,3,3,Medical,4,M,50,3,1, Research Scientist ,4,Married,16571,1,Unknown,0.11,3,3,3,0,6,2,0,0,0,1996,True,A
2385,37,36-45,False,Unknown,342,Sales,16,4,Marketing,4,M,66,2,2, Sales Executive ,3,Unknown,24558,4,Unknown,0.19,3,4,2,9,2,3,1,0,0,1986,True,A
2386,32,26-35,False,Unknown,300,Research & Development,1,3,Life Sciences,4,M,61,3,1, Laboratory Technician ,4,Divorced,9148,0,False,0.12,3,2,1,4,2,3,3,0,2,1991,True,A
897,53,46-55,False,Travel Rarely,868,Sales,8,3,Marketing,1,M,73,3,4, Sales Executive ,4,Married,22789,5,Unknown,0.14,3,3,1,28,3,3,2,2,2,1970,True,A
904,37,36-45,False,Unknown,1252,Sales,19,2,Unknown,2,M,32,3,3, Sales Executive ,2,Single,4814,1,True,0.13,3,4,0,11,2,3,10,0,9,1986,False,B
911,32,26-35,True,Travel Rarely,374,Research & Development,25,4,Unknown,1,M,87,3,1, Laboratory Technician ,4,Unknown,18016,1,Unknown,0.24,4,3,0,1,2,1,1,0,1,1991,True,A
918,58,56-65,True,Travel Frequently,781,Research & Development,2,1,Unknown,4,M,57,2,1, Laboratory Technician ,4,Divorced,13384,9,Unknown,0.14,3,4,1,3,3,2,1,0,0,1965,True,A
2387,43,36-45,False,Travel Rarely,177,Research & Development,8,3,Unknown,1,F,55,3,2, Manufacturing Director ,2,Divorced,23814,4,False,0.21,4,3,1,4,2,4,1,0,0,1980,False,B
923,21,18-25,True,Travel Rarely,1427,Research & Development,18,1,Other,4,F,65,3,1, Research Scientist ,4,Single,8870,1,False,0.19,3,1,0,11,3,2,1,0,0,2002,False,A
934,34,26-35,False,Unknown,546,Research & Development,48,3,Life Sciences,4,M,83,3,1, Laboratory Technician ,2,Unknown,6896,1,False,0.14,3,2,2,1,3,3,1,1,0,1989,True,B
940,58,56-65,False,Unknown,1272,Research & Development,5,3,Unknown,3,F,37,2,3, Healthcare Representative ,2,Divorced,9255,2,Unknown,0.13,3,4,1,24,3,3,6,0,4,1965,False,B
945,48,46-55,False,Unknown,99999,Research & Development,20,4,Medical,4,M,51,3,1, Research Scientist ,3,Married,5543,4,Unknown,0.17,3,1,2,13,2,2,0,0,0,1975,False,A
951,32,26-35,False,Non Travel,1184,Research & Development,1,3,Life Sciences,3,F,70,2,1, Laboratory Technician ,2,Married,3974,6,False,0.2,3,3,0,5,3,3,3,0,2,1991,True,B
952,25,18-25,True,Unknown,867,Unknown,19,2,Marketing,3,M,36,2,1, Sales Representative ,2,Married,18798,1,True,0.18,3,3,3,11,2,3,1,0,0,1998,False,B
954,40,36-45,False,Unknown,658,Sales,10,4,Marketing,1,M,67,2,3, Sales Executive ,2,Divorced,20652,2,False,0.12,3,2,1,11,2,2,1,0,0,1983,True,B
959,19,18-25,True,Unknown,419,Unknown,21,3,Other,4,M,37,2,1, Sales Representative ,2,Single,9947,1,True,0.13,3,2,0,1,3,4,1,0,0,2004,False,B
2388,20,18-25,True,Travel Rarely,129,Research & Development,4,3,Technical Degree,1,M,84,3,1, Laboratory Technician ,1,Single,13008,1,Unknown,0.19,3,2,0,1,2,3,1,0,0,2003,False,B
2389,33,26-35,False,Travel Rarely,1069,Research & Development,1,3,Unknown,2,F,42,2,2, Healthcare Representative ,4,Unknown,12291,0,Unknown,0.14,3,1,0,6,3,3,5,1,4,1990,True,A
2390,58,56-65,True,Travel Rarely,289,Research & Development,2,3,Unknown,4,M,51,3,1, Research Scientist ,3,Single,26227,4,False,0.24,4,1,0,7,4,3,1,0,0,1965,False,A
986,40,36-45,True,Non Travel,1479,Sales,24,3,Unknown,2,F,100,4,4, Sales Executive ,2,Single,17071,4,Unknown,0.16,3,4,0,22,2,2,1,0,0,1983,True,B
994,29,26-35,True,Travel Rarely,906,Research & Development,10,3,Unknown,4,F,92,2,1, Research Scientist ,1,Single,11479,6,True,0.2,4,3,0,3,5,3,0,0,0,1994,True,B
1003,47,46-55,False,Travel Rarely,955,Sales,18,2,Life Sciences,4,F,83,3,2, Sales Executive ,4,Single,8571,1,True,0.17,3,3,0,9,0,3,9,0,7,1976,False,A
1012,18,18-25,False,Unknown,287,Research & Development,5,2,Unknown,2,M,73,3,1, Research Scientist ,4,Unknown,13493,1,False,0.15,3,4,0,11,2,3,0,0,0,2005,True,A
2391,20,18-25,True,Unknown,1097,Research & Development,16,3,Medical,4,F,98,2,1, Research Scientist ,1,Unknown,18275,1,True,0.15,3,1,0,1,2,3,1,0,0,2003,False,B
1029,42,36-45,False,Unknown,265,Unknown,5,2,Unknown,4,M,90,3,5, Manager ,3,Unknown,7770,6,False,0.13,3,2,0,21,3,4,1,0,0,1981,True,A
2392,50,46-55,False,Travel Rarely,804,Research & Development,9,3,Unknown,1,M,64,3,1, Laboratory Technician ,4,Married,20165,4,False,0.18,3,2,0,8,5,3,1,0,0,1973,True,A
1033,37,36-45,True,Travel Rarely,1141,Research & Development,11,2,Medical,1,F,61,1,2, Healthcare Representative ,2,Unknown,14382,5,False,0.15,3,1,0,15,2,1,1,0,0,1986,True,B
2393,38,36-45,False,Unknown,99999,Sales,3,4,Life Sciences,2,M,42,3,2, Sales Executive ,4,Unknown,4981,8,True,0.12,3,3,0,19,1,3,1,0,0,1985,False,A
1052,36,36-45,True,Unknown,660,Research & Development,15,3,Unknown,1,M,81,3,2, Laboratory Technician ,3,Divorced,7858,7,Unknown,0.14,3,2,1,9,3,2,1,0,0,1987,True,A
1056,28,26-35,False,Travel Rarely,1144,Sales,10,1,Medical,4,M,74,3,1, Sales Representative ,2,Married,23384,1,False,0.22,4,2,0,11,5,3,1,0,0,1995,True,B
1076,43,36-45,False,Unknown,415,Sales,25,3,Unknown,3,M,99999,2,3, Sales Executive ,4,Unknown,5268,5,False,0.13,3,3,1,18,5,3,1,0,0,1980,True,A
1079,21,18-25,True,Travel Rarely,1334,Research & Development,10,3,Unknown,3,F,36,2,1, Laboratory Technician ,1,Single,17258,1,False,0.13,3,1,0,1,6,2,1,1,0,2002,True,B
1081,51,46-55,True,Travel Rarely,1323,Research & Development,4,4,Unknown,1,M,34,3,1, Research Scientist ,3,Married,10332,9,Unknown,0.12,3,3,3,18,2,4,10,2,7,1972,False,A
1105,37,36-45,False,Unknown,309,Sales,10,4,Unknown,4,F,88,2,2, Sales Executive ,4,Divorced,24223,2,True,0.14,3,3,3,8,5,3,1,0,0,1986,False,A
