Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Satisfaction_Group,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work
2361,37,36-45,False,Unknown,99999,Research & Development,24,2,Life Sciences,2,M,73,3,1, Research Scientist ,2,Married,3022,10227,4,False,21,4,1,Unknown,0,8,1,3,1,0,0,1986,False
2362,35,26-35,False,Unknown,1229,Research & Development,46,1,Unknown,4,M,36,4,1, Laboratory Technician ,4,Unknown,99999,4892,1,False,19,3,4,Unknown,0,1,2,3,1,0,1,1988,True
64,48,46-55,True,Unknown,626,Research & Development,1,2,Unknown,1,M,98,2,3, Laboratory Technician ,3,Unknown,99999,19294,9,Unknown,13,3,4,Unknown,0,11,2,3,1,0,0,1975,False
70,35,26-35,False,Non Travel,1097,Research & Development,11,2,Medical,3,M,79,2,3, Healthcare Representative ,1,Married,99999,8302,2,True,13,3,3,Unknown,1,10,3,3,4,2,3,1988,True
84,55,46-55,False,Travel Rarely,836,Unknown,8,3,Unknown,4,F,99999,3,4, Manager ,3,Divorced,99999,19730,2,True,14,3,3,Unknown,3,21,2,3,5,0,2,1968,True
2363,45,36-45,False,Unknown,1339,Research & Development,7,3,Life Sciences,2,M,59,3,3, Research Scientist ,1,Unknown,9724,18787,2,False,17,3,3,Unknown,1,11,2,3,1,0,0,1978,True
2364,36,36-45,True,Unknown,318,Research & Development,9,3,Medical,4,M,99999,2,1, Research Scientist ,3,Unknown,3388,21777,0,Unknown,17,3,1,Unknown,1,11,0,2,1,0,0,1987,True
97,36,36-45,False,Travel Rarely,132,Research & Development,6,3,Life Sciences,2,F,55,4,1, Laboratory Technician ,4,Unknown,3038,22002,3,False,12,3,2,Unknown,0,11,3,3,1,0,0,1987,True
2365,45,36-45,False,Travel Rarely,193,Research & Development,6,4,Other,4,M,52,3,3, Research Director ,1,Unknown,99999,15067,4,True,14,3,2,Unknown,0,11,3,4,0,0,0,1978,False
106,55,46-55,False,Unknown,111,Sales,1,2,Unknown,1,M,70,3,3, Sales Executive ,4,Married,99999,18092,3,Unknown,14,3,4,Unknown,1,11,4,3,1,1,0,1968,True
113,23,18-25,False,Unknown,541,Unknown,2,1,Technical Degree,3,M,62,3,1, Sales Representative ,1,Divorced,2322,9518,3,False,13,3,3,Unknown,1,11,3,3,0,0,0,2000,False
2366,32,26-35,False,Travel Rarely,827,Research & Development,1,1,Life Sciences,4,M,71,3,1, Research Scientist ,1,Single,99999,15178,1,False,13,3,4,Unknown,0,11,2,3,1,0,0,1991,True
137,20,18-25,True,Unknown,871,Research & Development,6,3,Life Sciences,4,F,66,2,1, Laboratory Technician ,4,Single,2926,19783,1,True,18,3,2,Unknown,0,11,5,3,1,1,0,2003,False
139,37,36-45,False,Unknown,1040,Research & Development,2,2,Life Sciences,3,M,100,2,2, Healthcare Representative ,4,Divorced,99999,15850,5,False,14,3,4,Unknown,1,17,2,4,1,0,0,1986,False
144,22,18-25,False,Unknown,99999,Research & Development,15,3,Unknown,2,F,59,3,1, Laboratory Technician ,4,Single,99999,23785,1,False,15,3,3,Unknown,0,11,5,3,0,0,0,2001,False
2367,34,26-35,False,Unknown,1031,Research & Development,24,4,Life Sciences,3,F,45,2,2, Research Scientist ,2,Unknown,4505,15000,6,Unknown,15,3,3,Unknown,1,11,3,3,1,0,0,1989,True
155,36,36-45,False,Unknown,922,Research & Development,3,2,Life Sciences,1,F,39,3,1, Laboratory Technician ,4,Divorced,2835,2561,5,Unknown,22,4,1,Unknown,1,11,2,3,1,0,0,1987,False
167,19,18-25,True,Travel Rarely,528,Sales,22,1,Marketing,4,M,99999,3,1, Sales Representative ,3,Single,99999,26820,1,True,19,3,4,Unknown,0,0,2,2,0,0,0,2004,True
200,41,36-45,False,Unknown,99999,Research & Development,9,4,Life Sciences,3,M,94,3,1, Laboratory Technician ,1,Unknown,99999,6961,2,Unknown,21,4,4,Unknown,1,7,2,3,5,1,4,1982,True
201,19,18-25,False,Unknown,99999,Research & Development,18,1,Unknown,2,F,79,3,1, Laboratory Technician ,2,Single,99999,16102,1,False,14,3,4,Unknown,0,1,3,3,1,0,0,2004,False
211,51,46-55,False,Unknown,1169,Research & Development,7,4,Unknown,2,M,34,2,2, Manufacturing Director ,3,Married,99999,13983,2,False,17,3,3,Unknown,0,10,2,3,1,0,0,1972,True
214,58,56-65,False,Unknown,1145,Research & Development,9,3,Unknown,2,F,75,2,1, Research Scientist ,2,Married,99999,11873,4,True,20,4,2,Unknown,1,9,3,2,1,0,0,1965,False
2368,19,18-25,True,Travel Frequently,602,Unknown,1,1,Unknown,3,F,100,1,1, Sales Representative ,1,Unknown,99999,20989,0,False,21,4,1,Unknown,0,1,5,3,0,0,0,2004,True
243,19,18-25,True,Travel Rarely,303,Research & Development,2,3,Life Sciences,2,M,99999,2,1, Laboratory Technician ,4,Single,99999,9241,1,Unknown,22,4,3,Unknown,0,1,3,2,1,1,0,2004,True
2369,35,26-35,True,Travel Rarely,556,Research & Development,23,2,Unknown,2,M,50,2,2, Manufacturing Director ,3,Unknown,99999,15497,3,True,13,3,1,Unknown,0,8,1,3,1,0,1,1988,True
271,38,36-45,False,Travel Rarely,1261,Research & Development,38,4,Unknown,4,M,99999,3,2, Manufacturing Director ,3,Unknown,6553,7259,9,Unknown,14,3,2,Unknown,0,14,3,3,1,0,0,1985,False
282,38,36-45,True,Unknown,1180,Research & Development,29,1,Medical,2,M,70,3,2, Healthcare Representative ,1,Married,6673,11354,7,True,19,3,2,Unknown,0,17,2,3,1,0,0,1985,False
2370,41,36-45,False,Unknown,896,Sales,6,3,Life Sciences,4,F,75,3,3, Manager ,4,Single,13591,14674,3,True,18,3,3,Unknown,0,11,3,3,1,0,0,1982,False
309,59,56-65,False,Travel Rarely,142,Research & Development,3,3,Life Sciences,3,M,70,2,1, Research Scientist ,4,Married,2177,8456,3,Unknown,17,3,1,Unknown,1,7,6,3,1,0,0,1964,True
323,50,46-55,False,Travel Rarely,854,Unknown,1,4,Medical,4,F,68,3,5, Manager ,4,Divorced,19517,24118,3,False,11,3,3,Unknown,1,11,3,2,7,0,6,1973,False
334,41,36-45,False,Travel Rarely,1411,Research & Development,19,2,Life Sciences,3,M,36,3,2, Research Scientist ,1,Divorced,99999,19877,2,Unknown,16,3,1,Unknown,2,17,2,2,1,0,0,1982,True
2371,45,36-45,False,Unknown,252,Unknown,1,3,Unknown,3,M,70,4,5, Manager ,4,Unknown,19202,15970,0,Unknown,11,3,3,Unknown,1,25,2,3,24,1,7,1978,False
342,37,36-45,True,Unknown,504,Research & Development,10,3,Medical,1,M,61,3,3, Manufacturing Director ,3,Unknown,10048,22573,6,False,11,3,2,Unknown,2,17,5,3,1,0,0,1986,True
2372,51,46-55,False,Unknown,833,Research & Development,38,3,Unknown,3,M,96,3,1, Research Scientist ,4,Married,2723,23231,1,False,11,3,2,Unknown,0,1,0,2,1,0,0,1972,True
364,28,26-35,True,Travel Rarely,529,Research & Development,2,4,Life Sciences,1,M,79,3,1, Laboratory Technician ,3,Single,99999,14935,2,Unknown,11,3,3,Unknown,0,5,5,1,0,0,0,1995,False
2373,29,26-35,False,Travel Rarely,1210,Sales,2,3,Medical,1,M,78,2,2, Sales Executive ,2,Married,6644,3687,2,False,19,3,2,Unknown,2,10,2,3,0,0,0,1994,True
367,31,26-35,False,Travel Rarely,1463,Research & Development,23,3,Medical,2,M,64,2,2, Healthcare Representative ,4,Unknown,99999,14408,0,False,21,3,2,Unknown,1,10,2,3,9,7,8,1992,True
2374,38,36-45,False,Travel Rarely,322,Sales,7,2,Medical,1,F,44,4,2, Sales Executive ,1,Unknown,5605,19191,1,True,24,4,3,Unknown,1,8,3,3,8,7,7,1985,False
392,44,36-45,True,Travel Frequently,920,Research & Development,12,3,Life Sciences,2,M,43,3,1, Laboratory Technician ,3,Unknown,3161,19920,3,True,22,4,4,Unknown,1,19,0,1,1,0,0,1979,True
397,36,36-45,False,Unknown,506,Research & Development,3,3,Technical Degree,3,M,30,3,2, Research Scientist ,2,Single,99999,26285,4,Unknown,12,3,4,Unknown,0,10,2,3,8,7,7,1987,True
2375,18,18-25,True,Unknown,99999,Research & Development,3,3,Unknown,3,M,54,3,1, Laboratory Technician ,3,Single,1420,25233,1,False,13,3,3,Unknown,0,0,2,3,0,0,0,2005,True
407,36,36-45,False,Unknown,566,Research & Development,18,4,Life Sciences,3,M,81,4,1, Laboratory Technician ,4,Married,99999,7122,4,False,18,3,4,Unknown,2,4,2,3,1,0,0,1987,True
2376,18,18-25,False,Unknown,812,Unknown,10,3,Unknown,4,F,69,2,1, Sales Representative ,3,Unknown,1200,9724,1,False,12,3,1,Unknown,0,0,2,3,0,0,0,2005,False
445,39,36-45,True,Travel Rarely,1162,Sales,3,2,Unknown,4,F,41,3,2, Sales Executive ,3,Married,5238,17778,4,True,18,3,1,Unknown,0,12,3,2,1,0,0,1984,True
2377,43,36-45,False,Travel Rarely,1001,Research & Development,15,3,Unknown,2,F,43,3,3, Healthcare Representative ,1,Married,9985,9262,8,False,16,3,1,Unknown,1,11,1,2,1,0,0,1980,True
2378,47,46-55,False,Travel Frequently,1309,Unknown,4,1,Medical,2,M,99,3,2, Sales Representative ,3,Unknown,99999,25751,3,False,19,3,1,Unknown,0,5,3,3,0,0,0,1976,False
468,42,36-45,False,Travel Rarely,810,Research & Development,23,5,Unknown,1,F,44,3,4, Research Director ,4,Single,15992,15901,2,False,14,3,2,Unknown,0,16,2,3,1,0,0,1981,False
471,32,26-35,False,Unknown,1062,Research & Development,2,3,Unknown,3,F,75,3,1, Laboratory Technician ,2,Married,2370,3956,1,False,13,3,3,Unknown,1,8,4,3,8,0,7,1991,True
473,48,46-55,False,Travel Rarely,530,Unknown,29,1,Medical,1,F,91,3,3, Manager ,3,Married,99999,23978,3,Unknown,21,4,2,Unknown,1,15,3,1,0,0,0,1975,True
477,42,36-45,False,Travel Rarely,1332,Research & Development,2,4,Unknown,1,M,98,2,2, Healthcare Representative ,4,Unknown,6781,17078,3,Unknown,23,4,2,Unknown,0,11,6,3,1,0,0,1981,False
479,36,36-45,False,Non Travel,845,Sales,1,5,Medical,4,F,45,3,2, Sales Executive ,4,Unknown,6653,15276,4,Unknown,15,3,2,Unknown,0,11,6,3,1,0,0,1987,True
485,33,26-35,True,Travel Rarely,350,Unknown,5,3,Marketing,4,F,34,3,1, Sales Representative ,3,Single,2851,9150,1,Unknown,13,3,2,Unknown,0,1,2,3,1,0,0,1990,False
487,46,46-55,False,Unknown,1144,Research & Development,7,4,Medical,3,F,30,3,2, Manufacturing Director ,3,Married,5258,16044,2,Unknown,14,3,3,Unknown,0,7,2,4,1,0,0,1977,True
494,21,18-25,True,Travel Rarely,156,Sales,12,3,Life Sciences,3,F,90,4,1, Sales Representative ,2,Single,99999,25422,1,Unknown,15,3,4,Unknown,0,1,0,3,1,0,0,2002,False
508,30,26-35,False,Unknown,202,Unknown,2,1,Technical Degree,3,M,72,3,1, Sales Representative ,2,Unknown,2476,17434,1,Unknown,18,3,1,Unknown,1,11,3,3,1,0,0,1993,True
514,30,26-35,True,Travel Frequently,464,Research & Development,4,3,Unknown,3,M,40,3,1, Research Scientist ,4,Single,2285,3427,9,True,23,4,3,Unknown,0,3,4,3,1,0,0,1993,False
518,32,26-35,False,Travel Rarely,1305,Research & Development,10,4,Unknown,3,M,49,3,2, Manufacturing Director ,2,Single,4197,21123,2,Unknown,12,3,4,Unknown,0,18,2,2,1,0,1,1986,True
2379,40,36-45,False,Travel Rarely,555,Research & Development,2,3,Unknown,2,F,78,2,2, Laboratory Technician ,3,Married,3448,13436,6,False,22,4,2,Unknown,1,11,3,3,1,0,0,1983,True
2380,28,26-35,False,Travel Rarely,1300,Research & Development,17,2,Unknown,3,M,79,3,2, Laboratory Technician ,1,Unknown,4558,13535,1,Unknown,12,3,4,Unknown,1,10,2,3,10,1,8,1995,False
556,38,36-45,False,Travel Frequently,1490,Research & Development,2,2,Unknown,4,M,42,3,1, Laboratory Technician ,4,Married,1702,12106,1,True,23,4,3,Unknown,1,11,3,3,1,0,0,1985,False
566,19,18-25,True,Unknown,489,Unknown,2,2,Technical Degree,1,M,99999,2,1, Human Resources ,4,Single,2564,18437,1,False,12,3,3,Unknown,0,1,3,4,1,0,0,2004,True
568,57,56-65,False,Travel Rarely,210,Unknown,29,3,Unknown,1,M,56,2,4, Manager ,4,Divorced,99999,22102,3,False,12,3,3,Unknown,1,11,3,2,1,0,0,1966,True
2381,47,46-55,False,Travel Rarely,983,Research & Development,2,2,Medical,1,F,65,3,2, Manufacturing Director ,4,Unknown,5070,7389,5,Unknown,13,3,3,Unknown,3,20,2,3,5,0,4,1976,True
2382,54,46-55,False,Travel Rarely,548,Research & Development,8,4,Life Sciences,3,F,42,3,2, Laboratory Technician ,3,Single,3780,23428,7,Unknown,11,3,3,Unknown,0,11,3,3,1,0,0,1969,False
2383,31,26-35,True,Travel Frequently,534,Research & Development,42,3,Unknown,4,M,66,3,3, Healthcare Representative ,3,Unknown,9824,22908,3,False,12,3,1,Unknown,0,12,2,3,1,0,0,1992,True
614,18,18-25,True,Travel Frequently,1306,Unknown,5,3,Marketing,2,M,69,3,1, Sales Representative ,2,Unknown,1878,8059,1,True,14,3,4,Unknown,0,11,3,3,0,0,0,2005,False
615,40,36-45,False,Unknown,1094,Sales,28,3,Other,3,M,58,1,3, Sales Executive ,1,Unknown,99999,11373,3,False,15,3,3,Unknown,1,20,2,3,1,0,1,1983,True
2384,26,26-35,False,Unknown,775,Sales,29,2,Unknown,1,M,45,3,2, Sales Executive ,3,Unknown,99999,4267,5,Unknown,12,3,1,Unknown,2,8,5,3,0,0,0,1997,True
622,26,26-35,True,Travel Rarely,471,Research & Development,24,3,Unknown,3,M,66,1,1, Laboratory Technician ,4,Single,2340,23213,1,True,18,3,2,Unknown,0,1,3,1,1,0,0,1997,True
2385,38,36-45,False,Unknown,1495,Research & Development,10,3,Unknown,3,F,76,3,2, Healthcare Representative ,3,Unknown,99999,22174,3,False,19,3,3,Unknown,1,18,4,3,1,0,0,1985,True
643,24,18-25,False,Unknown,823,Research & Development,17,2,Other,4,M,94,2,1, Laboratory Technician ,2,Married,2127,9100,1,False,21,4,4,Unknown,1,1,2,3,1,0,0,1999,True
648,30,26-35,True,Travel Frequently,448,Unknown,12,4,Unknown,2,M,74,2,1, Sales Representative ,1,Married,2033,14470,1,False,18,3,3,Unknown,1,1,2,4,1,0,0,1993,True
656,37,36-45,False,Travel Rarely,558,Sales,2,3,Marketing,4,M,75,3,2, Sales Executive ,3,Married,9602,3010,4,Unknown,11,3,3,Unknown,1,11,3,2,3,1,0,1986,False
657,20,18-25,False,Travel Rarely,959,Research & Development,1,3,Life Sciences,4,F,83,2,1, Research Scientist ,2,Unknown,99999,11757,1,False,13,3,4,Unknown,0,1,0,4,1,0,0,2003,True
661,43,36-45,False,Unknown,782,Research & Development,14,4,Other,2,M,50,2,4, Research Director ,4,Divorced,16627,2671,4,Unknown,14,3,3,Unknown,1,21,3,3,1,0,0,1980,False
662,38,36-45,False,Unknown,362,Research & Development,27,1,Life Sciences,3,F,99999,3,1, Research Scientist ,1,Unknown,99999,14561,3,False,17,3,4,Unknown,0,8,3,2,0,0,0,1985,True
2386,33,26-35,False,Unknown,1216,Sales,8,4,Marketing,3,M,39,3,2, Sales Executive ,3,Divorced,99999,20431,0,Unknown,12,3,4,Unknown,0,6,3,3,5,1,2,1990,False
2387,30,26-35,False,Unknown,160,Research & Development,3,3,Unknown,3,F,71,3,1, Research Scientist ,3,Unknown,2083,22653,1,False,20,4,3,Unknown,1,1,2,3,1,0,0,1993,False
690,29,26-35,False,Unknown,99999,Sales,44,2,Medical,2,F,62,3,2, Sales Executive ,3,Unknown,99999,3487,1,False,14,3,1,Unknown,1,11,5,2,6,1,2,1994,False
701,20,18-25,True,Unknown,1362,Research & Development,10,1,Medical,4,M,32,3,1, Research Scientist ,3,Single,1009,26999,1,Unknown,11,3,4,Unknown,0,11,5,3,1,1,1,2003,True
704,35,26-35,False,Non Travel,727,Research & Development,20,3,Unknown,2,M,41,2,1, Laboratory Technician ,3,Married,99999,16900,1,False,18,3,3,Unknown,2,1,3,3,1,0,0,1988,False
715,37,36-45,False,Unknown,1225,Research & Development,10,2,Life Sciences,4,M,80,4,1, Research Scientist ,4,Single,99999,15232,3,False,17,3,1,Unknown,0,11,2,3,1,0,0,1986,True
743,38,36-45,False,Unknown,168,Research & Development,1,3,Unknown,3,F,81,3,3, Manufacturing Director ,3,Single,7861,15397,4,True,14,3,4,Unknown,0,10,4,3,1,0,0,1985,True
749,29,26-35,False,Unknown,1396,Unknown,10,3,Unknown,3,M,99999,3,1, Sales Representative ,3,Single,2642,2755,1,False,11,3,3,Unknown,0,1,6,3,1,0,0,1994,False
2388,35,26-35,False,Unknown,1225,Research & Development,2,4,Unknown,4,F,61,3,2, Healthcare Representative ,1,Divorced,99999,4761,2,False,11,3,1,Unknown,1,16,2,4,1,0,0,1988,True
773,38,36-45,False,Travel Rarely,268,Research & Development,2,5,Medical,4,M,92,3,1, Research Scientist ,3,Married,99999,20471,6,True,13,3,2,Unknown,1,11,0,1,1,0,1,1985,True
775,34,26-35,False,Travel Rarely,167,Research & Development,8,5,Life Sciences,2,F,32,3,2, Manufacturing Director ,1,Unknown,5121,4187,3,False,14,3,3,Unknown,1,11,3,3,0,0,0,1989,True
811,23,18-25,True,Unknown,1243,Research & Development,6,3,Life Sciences,3,M,99999,4,1, Laboratory Technician ,1,Unknown,99999,3445,1,True,21,4,3,Unknown,2,1,2,3,0,0,0,2000,False
812,24,18-25,False,Unknown,1092,Research & Development,9,3,Life Sciences,3,M,60,2,1, Laboratory Technician ,2,Divorced,2694,26551,1,False,11,3,3,Unknown,3,11,4,3,1,0,0,1999,False
816,29,26-35,True,Travel Rarely,805,Research & Development,1,2,Life Sciences,2,F,36,2,1, Laboratory Technician ,1,Married,99999,6689,1,Unknown,11,3,4,Unknown,1,1,1,3,1,0,0,1994,True
832,40,36-45,False,Travel Frequently,720,Research & Development,16,4,Medical,1,M,51,2,2, Laboratory Technician ,3,Unknown,5094,11983,6,False,14,3,4,Unknown,0,10,6,3,1,0,0,1983,True
833,30,26-35,False,Travel Rarely,99999,Research & Development,2,3,Unknown,3,F,52,2,2, Manufacturing Director ,4,Single,99999,20234,5,Unknown,24,4,2,Unknown,0,12,4,2,0,0,0,1993,True
834,45,36-45,False,Unknown,252,Research & Development,2,3,Unknown,2,F,95,2,1, Research Scientist ,3,Unknown,2274,6153,1,False,14,3,4,Unknown,0,1,3,3,1,0,0,1978,True
2389,27,26-35,False,Unknown,443,Research & Development,3,3,Medical,4,M,50,3,1, Research Scientist ,4,Married,99999,16571,1,Unknown,11,3,3,Unknown,3,0,6,2,0,0,0,1996,True
2390,37,36-45,False,Unknown,342,Sales,16,4,Marketing,4,M,66,2,2, Sales Executive ,3,Unknown,99999,24558,4,Unknown,19,3,4,Unknown,2,9,2,3,1,0,0,1986,True
2391,32,26-35,False,Unknown,300,Research & Development,1,3,Life Sciences,4,M,61,3,1, Laboratory Technician ,4,Divorced,2314,9148,0,False,12,3,2,Unknown,1,4,2,3,3,0,2,1991,True
897,53,46-55,False,Travel Rarely,868,Sales,8,3,Marketing,1,M,73,3,4, Sales Executive ,4,Married,99999,22789,5,Unknown,14,3,3,Unknown,1,28,3,3,2,2,2,1970,True
904,37,36-45,False,Unknown,1252,Sales,19,2,Unknown,2,M,32,3,3, Sales Executive ,2,Single,99999,4814,1,True,13,3,4,Unknown,0,11,2,3,10,0,9,1986,False
911,32,26-35,True,Travel Rarely,374,Research & Development,25,4,Unknown,1,M,87,3,1, Laboratory Technician ,4,Unknown,99999,18016,1,Unknown,24,4,3,Unknown,0,1,2,1,1,0,1,1991,True
918,58,56-65,True,Travel Frequently,781,Research & Development,2,1,Unknown,4,M,57,2,1, Laboratory Technician ,4,Divorced,2380,13384,9,Unknown,14,3,4,Unknown,1,3,3,2,1,0,0,1965,True
2392,43,36-45,False,Travel Rarely,177,Research & Development,8,3,Unknown,1,F,55,3,2, Manufacturing Director ,2,Divorced,99999,23814,4,False,21,4,3,Unknown,1,4,2,4,1,0,0,1980,False
923,21,18-25,True,Travel Rarely,1427,Research & Development,18,1,Other,4,F,65,3,1, Research Scientist ,4,Single,99999,8870,1,False,19,3,1,Unknown,0,11,3,2,1,0,0,2002,False
934,34,26-35,False,Unknown,546,Research & Development,48,3,Life Sciences,4,M,83,3,1, Laboratory Technician ,2,Unknown,2008,6896,1,False,14,3,2,Unknown,2,1,3,3,1,1,0,1989,True
940,58,56-65,False,Unknown,1272,Research & Development,5,3,Unknown,3,F,37,2,3, Healthcare Representative ,2,Divorced,10552,9255,2,Unknown,13,3,4,Unknown,1,24,3,3,6,0,4,1965,False
945,48,46-55,False,Unknown,99999,Research & Development,20,4,Medical,4,M,51,3,1, Research Scientist ,3,Married,2259,5543,4,Unknown,17,3,1,Unknown,2,13,2,2,0,0,0,1975,False
951,32,26-35,False,Non Travel,1184,Research & Development,1,3,Life Sciences,3,F,70,2,1, Laboratory Technician ,2,Married,99999,3974,6,False,20,3,3,Unknown,0,5,3,3,3,0,2,1991,True
952,25,18-25,True,Unknown,867,Unknown,19,2,Marketing,3,M,36,2,1, Sales Representative ,2,Married,2413,18798,1,True,18,3,3,Unknown,3,11,2,3,1,0,0,1998,False
954,40,36-45,False,Unknown,658,Sales,10,4,Marketing,1,M,67,2,3, Sales Executive ,2,Divorced,99999,20652,2,False,12,3,2,Unknown,1,11,2,2,1,0,0,1983,True
959,19,18-25,True,Unknown,419,Unknown,21,3,Other,4,M,37,2,1, Sales Representative ,2,Single,2121,9947,1,True,13,3,2,Unknown,0,1,3,4,1,0,0,2004,False
2393,20,18-25,True,Travel Rarely,129,Research & Development,4,3,Technical Degree,1,M,84,3,1, Laboratory Technician ,1,Single,99999,13008,1,Unknown,19,3,2,Unknown,0,1,2,3,1,0,0,2003,False
2394,33,26-35,False,Travel Rarely,1069,Research & Development,1,3,Unknown,2,F,42,2,2, Healthcare Representative ,4,Unknown,99999,12291,0,Unknown,14,3,1,Unknown,0,6,3,3,5,1,4,1990,True
2395,58,56-65,True,Travel Rarely,289,Research & Development,2,3,Unknown,4,M,51,3,1, Research Scientist ,3,Single,2479,26227,4,False,24,4,1,Unknown,0,7,4,3,1,0,0,1965,False
986,40,36-45,True,Non Travel,1479,Sales,24,3,Unknown,2,F,100,4,4, Sales Executive ,2,Single,13194,17071,4,Unknown,16,3,4,Unknown,0,22,2,2,1,0,0,1983,True
994,29,26-35,True,Travel Rarely,906,Research & Development,10,3,Unknown,4,F,92,2,1, Research Scientist ,1,Single,99999,11479,6,True,20,4,3,Unknown,0,3,5,3,0,0,0,1994,True
1003,47,46-55,False,Travel Rarely,955,Sales,18,2,Life Sciences,4,F,83,3,2, Sales Executive ,4,Single,4163,8571,1,True,17,3,3,Unknown,0,9,0,3,9,0,7,1976,False
1012,18,18-25,False,Unknown,287,Research & Development,5,2,Unknown,2,M,73,3,1, Research Scientist ,4,Unknown,99999,13493,1,False,15,3,4,Unknown,0,11,2,3,0,0,0,2005,True
2396,20,18-25,True,Unknown,1097,Research & Development,16,3,Medical,4,F,98,2,1, Research Scientist ,1,Unknown,2600,18275,1,True,15,3,1,Unknown,0,1,2,3,1,0,0,2003,False
1029,42,36-45,False,Unknown,265,Unknown,5,2,Unknown,4,M,90,3,5, Manager ,3,Unknown,18303,7770,6,False,13,3,2,Unknown,0,21,3,4,1,0,0,1981,True
2397,50,46-55,False,Travel Rarely,804,Research & Development,9,3,Unknown,1,M,64,3,1, Laboratory Technician ,4,Married,2380,20165,4,False,18,3,2,Unknown,0,8,5,3,1,0,0,1973,True
1033,37,36-45,True,Travel Rarely,1141,Research & Development,11,2,Medical,1,F,61,1,2, Healthcare Representative ,2,Unknown,4777,14382,5,False,15,3,1,Unknown,0,15,2,1,1,0,0,1986,True
2398,38,36-45,False,Unknown,99999,Sales,3,4,Life Sciences,2,M,42,3,2, Sales Executive ,4,Unknown,99999,4981,8,True,12,3,3,Unknown,0,19,1,3,1,0,0,1985,False
1052,36,36-45,True,Unknown,660,Research & Development,15,3,Unknown,1,M,81,3,2, Laboratory Technician ,3,Divorced,99999,7858,7,Unknown,14,3,2,Unknown,1,9,3,2,1,0,0,1987,True
1056,28,26-35,False,Travel Rarely,1144,Sales,10,1,Medical,4,M,74,3,1, Sales Representative ,2,Married,1052,23384,1,False,22,4,2,Unknown,0,11,5,3,1,0,0,1995,True
1076,43,36-45,False,Unknown,415,Sales,25,3,Unknown,3,M,99999,2,3, Sales Executive ,4,Unknown,99999,5268,5,False,13,3,3,Unknown,1,18,5,3,1,0,0,1980,True
1079,21,18-25,True,Travel Rarely,1334,Research & Development,10,3,Unknown,3,F,36,2,1, Laboratory Technician ,1,Single,99999,17258,1,False,13,3,1,Unknown,0,1,6,2,1,1,0,2002,True
1081,51,46-55,True,Travel Rarely,1323,Research & Development,4,4,Unknown,1,M,34,3,1, Research Scientist ,3,Married,2461,10332,9,Unknown,12,3,3,Unknown,3,18,2,4,10,2,7,1972,False
1105,37,36-45,False,Unknown,309,Sales,10,4,Unknown,4,F,88,2,2, Sales Executive ,4,Divorced,99999,24223,2,True,14,3,3,Unknown,3,8,5,3,1,0,0,1986,False
1111,28,26-35,True,Unknown,1009,Research & Development,1,3,Medical,1,M,45,2,1, Laboratory Technician ,2,Divorced,2596,7160,1,False,15,3,1,Unknown,2,11,2,3,1,0,0,1995,False
1113,50,46-55,True,Unknown,99999,Sales,1,4,Unknown,4,M,81,3,2, Sales Executive ,3,Single,4728,17251,3,True,14,3,4,Unknown,0,5,4,3,0,0,0,1973,True
1115,34,26-35,False,Unknown,697,Research & Development,3,4,Unknown,3,M,40,2,1, Research Scientist ,4,Unknown,99999,22478,3,False,17,3,4,Unknown,3,6,2,3,0,0,0,1989,True
1125,38,36-45,False,Travel Rarely,130,Sales,2,2,Marketing,4,M,32,3,3, Sales Executive ,2,Single,7351,20619,7,False,16,3,3,Unknown,0,11,2,3,1,0,0,1985,True
2399,42,36-45,False,Unknown,188,Research & Development,29,3,Unknown,2,M,56,1,2, Laboratory Technician ,4,Unknown,99999,9558,4,Unknown,19,3,1,Unknown,0,16,3,3,1,0,0,1981,False
1156,18,18-25,True,Unknown,247,Research & Development,8,1,Unknown,3,M,80,3,1, Laboratory Technician ,3,Single,99999,13556,1,False,12,3,4,Unknown,0,11,0,3,0,0,0,2005,True
1158,41,36-45,False,Unknown,167,Research & Development,12,4,Unknown,2,M,46,3,1, Laboratory Technician ,4,Unknown,4766,9051,3,True,11,3,1,Unknown,1,6,4,3,1,0,0,1982,False
1172,35,26-35,False,Travel Rarely,982,Research & Development,1,4,Medical,4,M,58,2,1, Laboratory Technician ,3,Unknown,2258,16340,6,False,12,3,2,Unknown,1,11,2,3,8,1,7,1988,True
1190,32,26-35,False,Unknown,862,Sales,2,1,Unknown,3,F,76,3,1, Sales Representative ,1,Unknown,2827,14947,1,Unknown,12,3,3,Unknown,3,1,3,3,1,0,0,1991,True
2400,22,18-25,True,Unknown,1256,Research & Development,3,4,Life Sciences,3,M,48,2,1, Research Scientist ,4,Married,2853,4223,0,True,11,3,2,Unknown,1,1,5,3,0,0,0,2001,True
